"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1965","Census Tract 701902","380","Census Tract 302504","6/1/2018 - 8/31/2018, Every day, Daily Average",3091,2024,4718
"1965","Census Tract 701902","381","Census Tract 302505","6/1/2018 - 8/31/2018, Every day, Daily Average",2930,1902,4513
"1965","Census Tract 701902","404","Census Tract 600502","6/1/2018 - 8/31/2018, Every day, Daily Average",2095,1262,3476
"1965","Census Tract 701902","405","Census Tract 601600","6/1/2018 - 8/31/2018, Every day, Daily Average",1702,1055,2743
"1965","Census Tract 701902","406","Census Tract 601700","6/1/2018 - 8/31/2018, Every day, Daily Average",1774,1093,2878
"1965","Census Tract 701902","407","Census Tract 602002","6/1/2018 - 8/31/2018, Every day, Daily Average",1945,1187,3185
"1965","Census Tract 701902","408","Census Tract 602103","6/1/2018 - 8/31/2018, Every day, Daily Average",1702,1069,2707
"1965","Census Tract 701902","409","Census Tract 602104","6/1/2018 - 8/31/2018, Every day, Daily Average",1932,1185,3148
"1965","Census Tract 701902","410","Census Tract 602105","6/1/2018 - 8/31/2018, Every day, Daily Average",2476,1644,3727
"1965","Census Tract 701902","411","Census Tract 602106","6/1/2018 - 8/31/2018, Every day, Daily Average",2412,1623,3583
"1965","Census Tract 701902","412","Census Tract 602200","6/1/2018 - 8/31/2018, Every day, Daily Average",1734,1062,2829
"1965","Census Tract 701902","413","Census Tract 602301","6/1/2018 - 8/31/2018, Every day, Daily Average",2257,1306,3899
"1965","Census Tract 701902","414","Census Tract 602302","6/1/2018 - 8/31/2018, Every day, Daily Average",1575,1014,2446
"1965","Census Tract 701902","415","Census Tract 602402","6/1/2018 - 8/31/2018, Every day, Daily Average",2438,1602,3710
"1965","Census Tract 701902","416","Census Tract 602403","6/1/2018 - 8/31/2018, Every day, Daily Average",2638,1760,3953
"1965","Census Tract 701902","417","Census Tract 602404","6/1/2018 - 8/31/2018, Every day, Daily Average",2515,1709,3700
"1965","Census Tract 701902","418","Census Tract 602504","6/1/2018 - 8/31/2018, Every day, Daily Average",2228,1661,2987
"1965","Census Tract 701902","419","Census Tract 602505","6/1/2018 - 8/31/2018, Every day, Daily Average",2968,2260,3897
"1965","Census Tract 701902","420","Census Tract 602506","6/1/2018 - 8/31/2018, Every day, Daily Average",2248,1481,3410
"1965","Census Tract 701902","421","Census Tract 602507","6/1/2018 - 8/31/2018, Every day, Daily Average",2083,1440,3011
"1965","Census Tract 701902","422","Census Tract 602508","6/1/2018 - 8/31/2018, Every day, Daily Average",2562,1719,3817
"1965","Census Tract 701902","423","Census Tract 602509","6/1/2018 - 8/31/2018, Every day, Daily Average",2010,1243,3249
"1965","Census Tract 701902","424","Census Tract 602700","6/1/2018 - 8/31/2018, Every day, Daily Average",2139,1312,3486
"1965","Census Tract 701902","426","Census Tract 603703","6/1/2018 - 8/31/2018, Every day, Daily Average",2771,1863,4119
"1965","Census Tract 701902","429","Census Tract 621001","6/1/2018 - 8/31/2018, Every day, Daily Average",2179,1487,3192
"1965","Census Tract 701902","430","Census Tract 621002","6/1/2018 - 8/31/2018, Every day, Daily Average",2622,1796,3826
"1965","Census Tract 701902","431","Census Tract 621004","6/1/2018 - 8/31/2018, Every day, Daily Average",2510,1785,3527
"1965","Census Tract 701902","432","Census Tract 621102","6/1/2018 - 8/31/2018, Every day, Daily Average",2011,1421,2844
"1965","Census Tract 701902","433","Census Tract 621104","6/1/2018 - 8/31/2018, Every day, Daily Average",2524,1734,3672
"1965","Census Tract 701902","434","Census Tract 800203","6/1/2018 - 8/31/2018, Every day, Daily Average",2475,1754,3491
"1965","Census Tract 701902","436","Census Tract 532603","6/1/2018 - 8/31/2018, Every day, Daily Average",2635,1809,3837
"1965","Census Tract 701902","440","Census Tract 532700","6/1/2018 - 8/31/2018, Every day, Daily Average",3540,2316,5408
"1965","Census Tract 701902","455","Census Tract 403303","6/1/2018 - 8/31/2018, Every day, Daily Average",3277,2337,4593
"1965","Census Tract 701902","459","Census Tract 407002","6/1/2018 - 8/31/2018, Every day, Daily Average",2740,1919,3910
"1965","Census Tract 701902","465","Census Tract 408211","6/1/2018 - 8/31/2018, Every day, Daily Average",3187,2281,4451
"1965","Census Tract 701902","466","Census Tract 408212","6/1/2018 - 8/31/2018, Every day, Daily Average",3285,2341,4609
"1965","Census Tract 701902","468","Census Tract 408302","6/1/2018 - 8/31/2018, Every day, Daily Average",2593,1835,3662
"1965","Census Tract 701902","469","Census Tract 408303","6/1/2018 - 8/31/2018, Every day, Daily Average",2876,1927,4291
"1965","Census Tract 701902","471","Census Tract 408402","6/1/2018 - 8/31/2018, Every day, Daily Average",2719,1876,3939
"1965","Census Tract 701902","476","Census Tract 600501","6/1/2018 - 8/31/2018, Every day, Daily Average",2453,1620,3712
"1965","Census Tract 701902","477","Census Tract 600502","6/1/2018 - 8/31/2018, Every day, Daily Average",2237,1511,3310
"1965","Census Tract 701902","478","Census Tract 600601","6/1/2018 - 8/31/2018, Every day, Daily Average",2762,1805,4224
"1965","Census Tract 701902","479","Census Tract 600602","6/1/2018 - 8/31/2018, Every day, Daily Average",2520,1713,3705
"1965","Census Tract 701902","480","Census Tract 600702","6/1/2018 - 8/31/2018, Every day, Daily Average",2479,1661,3699
"1965","Census Tract 701902","481","Census Tract 600703","6/1/2018 - 8/31/2018, Every day, Daily Average",2416,1597,3653
"1965","Census Tract 701902","482","Census Tract 600704","6/1/2018 - 8/31/2018, Every day, Daily Average",2532,1669,3839
"1965","Census Tract 701902","483","Census Tract 600801","6/1/2018 - 8/31/2018, Every day, Daily Average",2589,1716,3905
"1965","Census Tract 701902","484","Census Tract 600802","6/1/2018 - 8/31/2018, Every day, Daily Average",2222,1460,3379
"1965","Census Tract 701902","485","Census Tract 600902","6/1/2018 - 8/31/2018, Every day, Daily Average",2140,1444,3171
"1965","Census Tract 701902","486","Census Tract 600911","6/1/2018 - 8/31/2018, Every day, Daily Average",2370,1574,3567
"1965","Census Tract 701902","487","Census Tract 600912","6/1/2018 - 8/31/2018, Every day, Daily Average",2278,1507,3441
"1965","Census Tract 701902","488","Census Tract 601001","6/1/2018 - 8/31/2018, Every day, Daily Average",2109,1369,3248
"1965","Census Tract 701902","489","Census Tract 601002","6/1/2018 - 8/31/2018, Every day, Daily Average",2283,1500,3474
"1965","Census Tract 701902","490","Census Tract 601100","6/1/2018 - 8/31/2018, Every day, Daily Average",2200,1440,3360
"1965","Census Tract 701902","491","Census Tract 601202","6/1/2018 - 8/31/2018, Every day, Daily Average",2011,1302,3105
